,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,instant_bookable,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
37,2024-12-30,2012-12-12,within an hour,100%,86%,t,t,t,Private room in rental unit,Private room,1.5 shared baths,$890.00,t,2024-12-30,2013-06-17,2024-11-05,f,1.0,1.0,59.33633,18.03002,2.0,1.5,1.0,1.0,4.0,5.0,4.0,4.0,1125,1125.0,28,58,66,323,9.3,11.0,0.0,4.91,4.9,4.88,4.92,4.93,4.81,4.81,1.0,1.0,0.0,0.0
38,2024-12-30,2012-11-17,within a few hours,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,$220.00,t,2024-12-30,2014-08-01,2024-10-01,f,2.0,1.8,59.29578,17.92813,4.0,1.0,1.0,3.0,1.0,180.0,1.0,1.0,1125,1125.0,30,60,90,90,52.0,2.7,0.0,4.69,4.58,4.37,4.78,4.85,4.59,4.61,2.0,1.0,0.0,0.0
39,2024-12-30,2012-01-28,,,0%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,300.00",t,2024-12-30,2013-02-08,2014-06-20,f,1.0,1.0,59.35019,18.05544,3.0,1.0,2.0,2.0,6.0,365.0,6.0,6.0,365,365.0,29,59,89,364,4.0,0.0,0.0,4.9,4.9,4.8,4.67,4.67,4.9,4.67,1.0,1.0,0.0,0.0
40,2024-12-30,2012-12-26,within a few hours,100%,94%,t,t,t,Private room in rental unit,Private room,1.5 baths,$740.00,t,2024-12-30,2013-05-07,2024-12-14,f,1.0,3.0,59.33884,18.08536,1.0,1.5,1.0,1.0,3.0,21.0,3.0,3.0,21,21.0,25,28,28,28,9.3,11.0,0.0,4.8,4.94,4.98,4.94,4.94,4.98,4.75,1.0,1.0,0.0,0.0
41,2024-12-30,2011-07-05,within a day,100%,13%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,320.00",t,2024-12-30,2013-02-06,2024-09-09,f,1.0,1.0,59.307583,18.080265,3.0,1.0,1.0,1.0,5.0,20.0,5.0,5.0,20,20.0,23,53,83,353,9.3,1.0,0.0,4.83,4.8,4.65,4.9,4.94,4.92,4.69,1.0,1.0,0.0,0.0
42,2024-12-30,2011-12-31,,,,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,,t,2024-12-30,2013-02-11,2023-12-21,f,1.0,1.0,59.30091,17.99012,2.0,1.2,1.0,2.0,3.0,184.9,3.0,3.0,1125,1125.0,0,0,0,0,46.0,0.0,0.0,4.91,4.87,4.93,5.0,5.0,4.56,4.8,1.0,1.0,0.0,0.0
43,2024-12-30,2013-01-24,within an hour,100%,100%,f,t,f,Private room in condo,Private room,1 shared bath,$873.00,t,2024-12-30,2016-05-15,2024-05-31,f,1.0,1.0,59.28674,18.0953,2.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,30,30.0,23,50,80,80,33.0,1.0,0.0,5.0,4.94,4.79,4.94,4.94,5.0,4.85,1.0,1.0,0.0,0.0
44,2024-12-30,2013-01-31,within a few hours,100%,98%,f,t,t,Entire guesthouse,Entire home/apt,1 bath,$790.00,t,2024-12-30,2013-03-25,2024-11-15,f,2.0,2.0,59.27977,17.89568,4.0,1.0,1.0,1.0,3.0,365.0,3.0,3.0,1125,1125.0,0,0,29,276,9.3,10.0,0.0,4.47,4.62,4.63,4.8,4.81,4.41,4.56,2.0,1.0,0.0,0.0
45,2024-12-30,2013-01-11,,,,f,t,t,Private room in rental unit,Private room,2.5 baths,"$3,000.00",t,2024-12-30,2013-11-09,2013-11-09,f,1.0,1.0,59.31577,18.07724,4.0,1.2,1.0,3.0,2.9,184.9,2.7,3.0,1095,1095.0,30,60,90,365,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,1.0,1.0,0.0,0.0
46,2024-12-30,2012-11-04,within an hour,100%,96%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,250.00",t,2024-12-30,2013-04-26,2024-12-15,f,1.0,1.0,59.33567,18.03108,3.0,1.0,1.0,2.0,3.0,184.9,3.0,3.0,1125,1125.0,0,0,10,271,9.3,2.7,0.0,4.93,4.95,4.98,4.99,4.99,4.88,4.85,1.0,1.0,0.0,0.0
